Index,ID,School,Major,GPA,Language,Target School,Target Major,Degree,Result,Intern,Work,Paper,Competition,Exchange,Scholarship,School Name,Apecial Name 
1,1,4,3,3,4,1,3,MS,0.9,1,0,0,0,0,0,National University of Singapore,industrial and systems engineering
2,1,4,3,3,4,1,3,MS,0.7,1,0,0,0,0,0,National University of Singapore,Logistics and Supply Chain Management
3,1,4,3,3,4,3,3,MS,0.9,1,0,0,0,0,0,Kings College London,industrial and systems engineering
4,1,4,3,3,4,4,3,MS,0.9,1,0,0,0,0,0,The University of Warwick,Logistics and Supply Chain Management
5,1,4,3,3,4,2,3,MS,0.9,1,0,0,0,0,0,Nanyang Technological University,Logistics and Supply Chain Management
6,1,4,3,3,4,1,3,MS,0.7,1,0,0,0,0,0,University College London,industrial and systems engineering
7,2,4,3,3,4,1,3,MS,1.0,1,0,0,0,0,1,National University of Singapore,Supply Chain Management
8,3,5,7,2,4,3,7,MS,1.0,0,0,0,0,0,0,Technical University of Munich Asia,Industrial Chemistry
9,4,6,5,2,2,2,6,MS,1.0,0,0,0,0,0,0,Nanyang Technological University,international political economy
10,4,6,5,2,2,3,6,MS,1.0,0,0,0,0,0,0,Kings College London,international political economy
11,4,6,5,2,2,2,5,MS,1.0,0,0,0,0,0,0,University of Edinburgh,International Relations
12,5,2,4,4,2,2,4,MS,0.9,1,0,0,0,0,0,Nanyang Technological University,Fintech
13,5,2,4,4,2,1,4,MS,0.7,1,0,0,0,0,0,Eidgenossische Technische Hochschule Zürich,Computer Systems Analysis
14,5,2,4,4,2,1,4,MS,0.7,1,0,0,0,0,0,Eidgenossische Technische Hochschule Zürich,Fintech
15,5,2,4,4,2,2,4,MS,0.9,1,0,0,0,0,0,Ecole Polytechnique Federale de Lausanne,Fintech
16,5,2,4,4,2,2,4,MS,0.9,1,0,0,0,0,0,Nanyang Technological University,Artificial Intelligence
17,5,2,4,4,2,1,4,MS,0.9,1,0,0,0,0,0,National University of Singapore,Fintech
18,6,4,3,2,3,1,3,MS,1.0,1,0,0,1,0,0,National University of Singapore,urban planning
19,7,2,5,2,2,2,5,MS,1.0,0,0,0,0,0,0,Nanyang Technological University,Asian Studies
20,7,2,5,2,2,3,5,MS,1.0,0,0,0,0,0,0,The Chinese University of Hong Kong,Asian Studies  
21,8,2,3,4,2,1,3,MS,1.0,0,0,0,0,0,0,National University of Singapore,Materials Science
22,9,4,3,5,4,2,4,MS,1.0,0,0,0,0,0,0,Nanyang Technological University,computer control & automation
23,9,4,3,5,4,2,4,MS,1.0,0,0,0,0,0,0,Nanyang Technological University,computer control & automation
24,9,4,3,5,4,2,4,MS,1.0,0,0,0,0,0,0,Nanyang Technological University,computer control & automation
25,10,6,7,4,2,1,2,MS,0.9,0,0,0,0,0,0,National University of Singapore,Quantitative Finance
26,10,6,7,4,2,1,7,MS,0.9,0,0,0,0,0,0,National University of Singapore,Statistics
27,11,4,4,4,3,2,4,MS,0.9,0,0,0,0,0,0,Nanyang Technological University,Information Systems
28,12,2,1,3,2,2,1,MS,1.0,0,0,1,0,0,0,Baylor College of Medicine,Cancer And Cell Biology
29,12,2,1,3,2,1,1,MS,1.0,0,0,1,0,0,0,Duke-NUS Medical school,Cancer And Cell Biology
30,13,4,3,3,4,1,4,MS,1.0,0,0,1,0,0,0,National University of Singapore,Biomedical Engineering
31,14,5,3,4,4,1,3,MS,0.9,0,0,1,1,0,1,National University of Singapore,materials science and engineering
32,14,5,3,4,4,3,3,MS,0.9,0,0,1,1,0,1,City University of Hong Kong,materials science and engineering
33,14,5,3,4,4,3,3,MS,0.9,0,0,1,1,0,1,The University of Melbourne,Industrial and Engineering Management
34,15,5,3,3,3,1,3,MS,1.0,0,0,0,0,0,0,National University of Singapore,safety health environment
